med_mass_1 med_mass_2 med_lum_dist log_D_AB
1.235979441973689319e+02 4.971982740592902417e+01 2.313692394631486241e+04 2.208865537390902745e+00
1.536955849304776933e+01 1.279590902549720255e+01 4.645839184612864301e+03 -1.045629246682787716e+01
5.156145830052497558e+01 4.302065908192597732e+01 2.621894002371582974e+04 -4.481267132518151897e+00
2.333944765324018178e+01 1.528062020231057616e+01 1.271240222227353570e+03 -2.324849576011065011e+00
2.712776436840951533e+01 1.252559718765988528e+01 4.971829697661440150e+03 -1.644225793568050875e+00
1.825855417588456930e+01 1.597320717333681195e+01 1.359867142217601668e+03 -5.824539170891990025e+00
1.352000912413127480e+02 1.010906131481159065e+02 1.652329859182493965e+04 2.455147481439912127e+00
1.510841940304712239e+02 1.079078771213469707e+02 3.295502594671112456e+04 1.768728571110820269e+00
1.065364883201541204e+02 9.516959395383808840e+01 2.340360537537940399e+04 1.191045321261952949e+00
9.597933202851379519e+00 8.188123902236682738e+00 1.302100321284497568e+03 -2.130659946900231461e+01
2.631111970156428725e+01 2.030620054344875669e+01 1.052678271928297545e+04 -6.566917728658161479e+00
6.758471418233050088e+01 4.431201677544500228e+01 3.070408648099625862e+04 -1.885340331753756260e+00
1.474292712199478927e+01 1.179459957126766589e+01 5.098522134176335385e+03 -1.495460637173876961e+01
1.677420283245971078e+01 8.006530206703637020e+00 1.345129991766900275e+03 -5.182333460681675774e+00
7.808490632433482403e+00 7.272855604522556305e+00 1.113211633704019050e+03 -2.952581716180725735e+01
2.832564407613162771e+01 1.985172006096781061e+01 1.786276313991156348e+04 -7.941114152740993859e+00
8.375685505693664368e+01 6.899414456380517890e+01 6.452416748286011716e+04 -2.312313650600572146e+00
1.193432732186294913e+02 6.582818422559071792e+01 2.017759679634644272e+04 2.109061781777292310e+00
2.757899356585559758e+01 1.902246057600379814e+01 1.302644463429097050e+04 -6.670173321700829661e+00
2.724025331515717596e+01 2.152155182381586229e+01 1.646120927329159167e+04 -8.005869000958423243e+00
1.516856311990727946e+01 1.421408068032268091e+01 4.732454476863163109e+03 -1.218850301849792572e+01
7.928117777089306628e+01 6.675084272717397482e+01 9.851333137585730583e+03 1.497296521284976478e+00
4.551970494550520385e+01 4.053186805804880066e+01 2.804900845883398870e+04 -5.772929802986300984e+00
1.731094517865104621e+01 1.644120723073490709e+01 1.679461840624662727e+03 -6.476343279756369142e+00
6.798530454578042281e+01 5.509771258407254635e+01 1.623940685183852838e+04 -7.238225992955555910e-01
8.422923768649999943e+01 3.496679668237065641e+01 3.437702886437254347e+04 1.055878182914042895e-01
1.045121343386838753e+01 7.222153803586831344e+00 1.467762308382440551e+03 -1.949198642868766029e+01
2.775376870498273263e+01 1.976495378336010234e+01 1.168826606327185800e+04 -6.173043652075925536e+00
2.123607696536471678e+01 8.874689727406121165e+00 1.394334924001175523e+03 -3.082010232330119948e+00
1.640714885676585411e+01 1.498977128048803920e+01 1.489487225262359516e+03 -6.751556542646312664e+00
3.696439286238876321e+01 2.667886203719478999e+01 1.697420025015748979e+04 -5.785032227697346485e+00
4.281564660953686996e+01 2.848737648740704742e+01 1.145298684185781894e+04 -2.121998889957200873e+00
1.125109926128500781e+01 1.049399537328568499e+01 1.086266656401480304e+03 -1.497170537597592421e+01
1.095897236290687715e+01 9.856431889150947256e+00 1.204933413013832023e+03 -1.632457676276209924e+01
1.295851637329919015e+02 1.058292169586211173e+02 5.571810839196047164e+04 8.791100239669944472e-01
3.302074804409624420e+01 3.069855569384402472e+01 1.124601958090428525e+04 -5.323697932346139083e+00
2.942380404465924570e+01 2.655577919182211843e+01 2.923253127369735739e+04 -9.747182378521262791e+00
