med_mass_1 med_mass_2 med_lum_dist p_PopIII
4.114196926623378658e+02 3.550417607219054048e+02 5.211141462991798471e+04 9.749031372070312562e-01
2.220269998258325757e+02 1.992251249278749015e+02 4.832691724304539821e+04 8.547541503906249671e-01
2.837694120709657568e+02 1.936790925545964512e+02 5.433120698098147113e+04 9.347271728515624822e-01
3.740426467373800961e+02 2.971285869810639610e+02 9.006643607716559200e+04 8.859553222656250115e-01
2.684498041994268078e+02 2.447055733272118232e+02 6.151492002242897433e+04 8.333185424804687713e-01
1.048236836761436450e+02 7.924262831068983814e+01 3.950706181426644616e+04 4.773154907226562771e-01
1.255419410821452715e+02 9.862668848544143430e+01 3.734750453318924701e+04 5.403933105468750053e-01
1.181131560276849370e+02 9.538763062654216185e+01 1.622897640593526739e+04 9.338814697265624964e-01
2.495340757590179521e+02 2.219806357472114655e+02 4.049428403456378146e+04 9.299088745117187749e-01
7.298748233329541790e+01 3.697913852066304230e+01 2.805332694507629276e+04 8.179688110351562846e-01
3.418206888953467342e+02 3.147988225304813454e+02 3.795672164265059109e+04 8.146718750000000453e-01
1.237186145566479354e+02 8.124340018034649802e+01 2.768122857545754232e+04 8.856918945312499680e-01
8.715362528779249374e+01 3.278306069360361619e+01 1.823172797562125561e+04 9.484138793945312562e-01
3.516754180563801810e+02 3.130790512522278277e+02 8.473653750296450744e+04 8.931951904296875355e-01
3.229894274533749012e+02 2.683381851940239926e+02 5.432509665654120181e+04 8.992624511718749769e-01
3.875087900359492323e+02 3.388780638945580677e+02 3.117009948893015462e+04 9.456021728515624503e-01
5.499450540374590446e+01 2.741255396922954191e+01 1.837319300972632118e+04 2.419224395751953249e-01
2.251279443350255747e+02 1.771286157456416390e+02 6.749952779556380119e+04 9.187788085937500515e-01
2.355301798176586203e+02 1.950601418684182704e+02 3.221039337861628155e+04 9.445662841796874654e-01
3.944021850844354731e+02 2.860863631378421701e+02 8.884898253265859967e+04 9.001508789062500071e-01
2.670116419493605235e+02 6.014933071768925288e+01 4.350249557188515610e+04 7.208078613281250213e-01
1.395947787504578912e+02 1.151398073495217602e+02 3.535156586145300389e+04 7.874837646484375009e-01
2.299197872727578726e+02 1.947597897723906044e+02 3.684957087391342793e+04 9.421960449218750311e-01
6.946458952142654653e+01 3.386852469286328926e+01 1.032366568187843404e+04 9.042449951171874778e-01
4.143053306815105685e+01 2.082631007769207088e+01 3.878926111955557190e+03 9.109916381835937438e-01
4.043894719139797900e+01 1.647190070580728261e+01 5.160251152798697149e+03 9.327815551757812074e-01
1.768380990876430019e+02 1.438847734737006476e+02 7.782158569944603369e+04 6.968312988281250009e-01
2.716031401063794419e+02 1.682262105911983952e+02 8.107347592054543202e+04 8.967489013671875453e-01
3.656387012861845278e+02 2.311936666964936080e+02 5.484164139273331239e+04 9.344498291015624902e-01
7.183296392382547424e+01 5.031383731367371581e+01 1.112664111550828056e+04 8.502503662109375249e-01
3.678119691917697764e+02 1.706518481857025336e+02 7.036617190319014480e+04 9.512799072265625266e-01
1.023563611158088520e+02 7.261284734371538718e+01 1.983500887463810068e+04 8.135764770507812882e-01
2.798516999231740670e+02 2.542952501001885253e+02 5.424501007430716709e+04 9.045910034179687198e-01
3.727377774989110435e+02 2.847153538656456817e+02 7.298201158838922856e+04 9.514292602539062838e-01
7.807744231631255616e+01 3.914396124415234368e+01 1.358484777846638826e+04 8.911627807617187313e-01
2.031527818076263543e+02 1.565134184397849140e+02 4.854211370266317681e+04 8.634339599609375249e-01
5.777462747081965944e+01 4.047165572601360850e+01 8.990110158542143836e+03 7.091857910156249556e-01
4.277052861177902514e+02 3.538344535159973248e+02 6.522978760578596848e+04 9.744713134765624618e-01
4.821385425357407826e+02 2.776819951876807409e+02 4.554749180421451456e+04 9.495008544921874627e-01
